id,author,description,terjemahan
18,@YutubKutub-uv1mh,Dan yg ODGJ gak pernah terpapar pdhl hiddupnya di jalan dan kotor,And the ODGJ is never exposed to the hiddup on the road and is dirty
19,@darwati8037,tiongkok lagi lagi....sengaja mereka bikin penyakit....lalu bikin obatnya dan vaksinya biar dpt cuan. ini namanya penjajahan biologis knpa negara yg lain gk berpikir kesitu,China again again .... they deliberately make a disease .... then make the medicine and the vaccination so that it can be cuan. This is called biological colonialism because other countries don't think there
20,@edyjulianto8877,"Weleh weleh si Komo lewat ,mboh 😢😢😢😢😢😢,,,,,,","Weleh weleh the komo passes, mboh 😢😢😢😢😢😢 ,,,,,"
21,@fiqitoys5405,Rakyat sudah cerdas 😂,The people are smart 😂
22,@shenkreatif,Mau nipu lgi hingga TBC  BISUL berganti nama,Want to cheat again until tuberculosis boils change names
23,@hulkglobal723,😂😂😂😂😂,😂😂😂😂😂
24,@twentyseventh1535,Siap siap wabah lagi 😢,Ready for another outbreak 😢
25,@williamwen186,siap2 gelombang ke 3 wah ancoer tuh.. kalo kejadian lg lockdown kali ini byk yg mati..,"ready for the 3rd wave, an ancoer ... if the incident lg lockdown this time the one who died .."
26,@Arbalest-vy5jz,"Ayo, menteri kesehatan sekarang. Jangan anggep remeh kaya nenteri sebelumnya","Come on, the Minister of Health now. Don't underestimate the previous nenteri"
27,@user-bp2ws3cl1j,Permainan elit global demi cuan,Global elite game for cuan
28,@user-fh2sy9zo6b,Biang keroknya hubudunya yg menghalalkan segala cara termasuk industri kesehatan,The culprit of his hubudinya which justifies any means including the health industry
29,@bettafishmantap,Patut diwaspadai.,Worth watching out for.
30,@alifaasrafhafizah2704,"Covid,,atau pun penyakit sudah ada pada tubuh manusia,,tpi penyakit itu memang kuat dari pada imun tubuh,,bakal kalah lah imunitas tubuh","Covid ,, or even the disease already exists in the human body, but the disease is indeed strong than the body's immune, it will lose the body's immunity"
31,@yantonganjuk,Proyek buatan manusia,Man -made project
32,@KrisnaSurya-be1si,Wahh bau bau apaa inii 😂,Wahh what smell smell this 😂
33,@xunwei8714,Tiongkok lagi capeeek woi,China is again capeeek woi
34,@robertheruatmaja3480,Jadi inget kata Jend Dharma Pangrekun.... Kenyataan... 😢,So remember the word general dharma pangrekun .... reality ... 😢
35,@samsularifin-ez8fj,China selalu menjdi sumber penyakit.,China always becomes a source of disease.
36,@SaifulBahri-zy7eg,Dunia hp pasti meningkatkan tajam laris manis kayak kacang kacang goreng seperti yang pernah terjadi 2019 2022,The world of cellphones will definitely increase sharp selling well like fried beans as happened 2019 2022
37,@orange8172,Medis aja susah di oervaya sekarang. Buktinyabanyak sudah klinik Rumah Sakit dlll ya mau tutup semua pasiennya ngak ada di sefot sama RSGefekk,"Medical is difficult in Oervaya now. The proof is that there are already hospital clinics, etc., you want to close all the patients not in the same as RSGEFEKK"
38,@orange8172,Yang aku takut cuman tetangga susah cari. Makanaja sulit ya pasti ributtt😮😮😮,"What I'm afraid is that it's only a neighbor to find. Eating is difficult, yes, surely Ributt😮😮😮"
39,@orange8172,Mau penyakit apa ajaa aku. Ngak. Petnahtakut. Matiaja aku. Ngaktakutty😮,I want any disease. Ngak. Petnahtakut. Matija me. Ngaktakutty😮
40,@orange8172,Celpatnsekali. Adaapamgerangan yaa😮😮,Celpatnsi. There is a gym yaa😮😮
41,@superidol5928,Dahlah Zoom lagi,Already zoom again
42,@zandyzain6241,Yoi,Yoi
43,@TheArgo96,Cin0 i ancene negoro kyk dancok,Cin0 I Ancene Negoro Kyk Dancok
44,@COBRAYC1UCE,Ga perlu menakut2i rakyat indonesia lagi bro Ini sdh mau pemilu yg sedang berobat di luar negeri saja bisa langsung sembuh total 😂😂😂😂😂cuan lagi cuan lagi cuan lagi Tutup aja bandara biar yg dari sumber wabah ga masuk ke Indonesia mulai dari skr antisipasi jgn sdh pd kena baru gencar lagi dan dijadikan pencarian keuntungan buat para pejabat2,"No need to frighten the Indonesian people again, bro, this has already wanted elections that are treated abroad, can immediately recover completely 😂😂😂😂😂😂 Cuan again cuan again just close the airport so that the outbreaks do not enter Indonesia starting from the current anticipation already hit by new again and used as a search for advantages for officials"
45,@fauzirotres5090,"Di kampung ku sudah bnyak yg sakit,tiap berobat kata dokter ke virus,GK di opnam juga pada sembuh,orang muda tua juga pada sakit aneh Kya lumpuh juga GK PDA opnam PDA sembuh","In my village there are already many sick people, every treatment said the doctor to the virus, not in the hospital also recovered, old young people also in strange illness kya also paralyzed or not to be hospitalized in recovery"
46,@onichanyu,"Adik gw masih bayi dia kena penyakit apa itu penyakit itu?atau bukan iya?adik bayi saya tidak banyak bicara ketika sakit ,cuma bilang hati hati aja","My sister is still a baby he has a disease what is the disease? Or not yes? My baby's sister doesn't talk much when you are sick, just saying be careful"
47,@msuwarno489,Cara mudah cari dana sebar penyakit jual penangkal.,Easy Ways to Find Disease Funds Selling antidote.
48,@Iloveyou654,"Saya cuma mau bilang: yang kemaren vaksin 1,2, dan 3, bahkan 4. Nah, sekarang apa kabar? Apakah baik-baik aja?","I just want to say: the vaccine yesterday was 1,2, and 3, even 4. Well, now how are you? Is it okay?"
49,@lianjustmine,Saya vaksin 1 dan 2 baik baik aja,"I vaccine 1 and 2, fine"
50,@cucumulyani,Eak..... Eak... Eak😅😅😅cuan.. Cuan.. Cuan😂😂,Eak ..... eak ... eak😅😅pose .. cuan .. cuan😂😂
51,@ruiekoysta,Muncul opo neh kie kok geting q,"Opo appears, Kie, how come it's getting q"
52,@user-po7mm4xq9w,mereka mulai lagi 😃😃😃😃😃😃😃😃😃😃,They start again 😃😃😃😃😃😃😃😃😃😃
53,@YogaPamungkas-nm5zy,Udah mau mati mati aja bodo amat gw mah,"I want to die, I'm very dead"
54,@M.Ilham123,"Di China emang ""negara sakit"".🗿💀","In China it is ""sick""."
55,@iwataninaofumi7546,Apakah ini perang biologis S2 ?,Is this a biological war S2?
56,@ardihaza7770,Horee Lokdown lagi😀😁🤣😂,Hooray Lokdown again😀😁🤣😂
57,@waginowagino8716,Jaga kebersihan bersama,Keep clean together
58,@nyawajuju8171,Blokir china,Block China
59,@abirhariri2181,Pembawa berita ini Riko anggara ? Atau siapa?,This news carrier Riko Anggara? Or who?
60,@ilcapitano517,*_lagi-lagi wabah menyebar dari china apakah sengaja di kembangin virusnya biar bisa untung karena bisa jual obatnya_*,*_Lenglagi plague spread from China whether deliberately developed by the virus so that it can be profitable because it can sell the medicine_*
61,@uriel02_win,"Sekolah zoom, banyakin rebahan, dan ada maksud dari smua ini 😂😂😂","Zoom school, lots of lying down, and there is a purpose from all this 😂😂😂"
62,@Sigma_Male1945,"Metaverse kan gagal, apa sengaja ya?😂","Metaverse failed, what was intentional huh? 😂"
63,@Sigma_Male1945,"Polanya juga sama, dulu desember mereka udah parah","The pattern is the same, in December they were already severe"
64,@mantapewew9296,Pengangguran lgi deh,Unemployment again
65,@sgt_3897,hancur masa depan generasi loyo 😂,Destroyed the future of the sluggish generation 😂
66,@ratiniwarto5773,Lagi” biangnya diawali dari china,"Again, ""Its source starts from China"
67,@roffymuhammad1431,China lagi .. china lagi...,China again ... China again ...
68,@lilisrahayu5561,Selama blm dtng keciampea berarti itu bohong😅😅😅😅,"As long as it hasn't been kissed, it means it's a lie."
69,@lilisrahayu5561,Alhamdulilah😅😅😅😅,Alhamdulillah😅😅😅
70,@user-bh2ff9cj2k,BODO AMAT,WHATEVER
71,@prayudamuttaqin2230,Au ah gelap,Whatever
72,@Nikumawon,Jangan bicara teori pak.. takutnya nanti kayak covit tahun kemaren juga pake teori ujung ujungnya pada meninggal,"Don't talk about theory sir ... I'm afraid that later like the coverage last year, I will use the theory of the end to death"
73,@arifwahyudi2734,Rajin2 aja minum rebusan jahe kunyit temulawak,Diligent just drink turmeric ginger boiled temulawak
74,@BETE.Music.Official,"Knpa klo mau lebaran ada ada aja?? Jngn bilang klo tahun baru atau lebaran ga boleh kemana2,, gw jitak ya!!!",Why if you want Lebaran there is just there ?? Don't say that if you are a new year or Eid you can't go anywhere
75,@achmaddjadjang-gi5sx,Alhamdulillah potensi pemilu ditunda 3 thn dan protocol kesehatan diterapkan bertahap lihat sikon di china....asyik,"Alhamdulillah, the potential for the election is postponed 3 years and the health protocol is applied in stages"
76,@kaone5003,haduh untuk sementara orang tiongkok filarang masuk dulu dah,for a while the Chinese filaarang came in first
77,@user-sungokonghu4vq9j,Tiongkok buat bisnis baru 😂😂😂😂,China for a new business 😂😂😂😂
78,@M.Ilham123,"Tiongkok nih emang kek ""negara sakit"".🗿🗿💀","China is really a ""sick country""."
79,@kakungtoro7423,Hadeuh... dulu covid dr china... skr ada lagi pneumonia misterius dr china lagi... 😢😢,Hadeuh ... first covid from China ... now there is another mysterious pneumonia from China again ... 😢😢
80,@user-oz2uo3gw1o,"China lg china lg,,,wabah virus selalu berasal dari chona...haduh.",China again China ... Virus outbreaks always come from Chona ... Haduh.
81,@fiezaemha6103,Permainan elit global biar cuan jngan mudah percaya. Corona contoh yg sukses cuan di elite global.,Global elite games so that the cuan is not easy to believe. Corona Examples of Successful Cuan in Elite Global.
82,@MrHidayatSyariv,Mudahan kamu kena. Amin. 😂,I hope you get hit. Amen. 😂
83,@ilcapitano517,Betul curiga sengaja di kembangin virusnya trus lagi lagi virus virus tuh dari china,Really suspicious of being deliberately developed by the virus then again the virus virus is from China
84,@wDxs,Apa apa elit global 😂 Jangan jangan sekolah itu akal akalan elit global biar cuan,"What are the global elites 😂 Don't do not go to school, the global elite reason"
85,@messineimar9053,Sok tahu elit global.....kmu sok pintar tapi bodoh,Snok know the global elite ..... you are pretentious but stupid
86,@user-yh2oj1zc4u,Coba apa contohnya gimana,Try what example
87,@Leon-tx9ol,dari china lagi 😅,from China again 😅
88,@DaiLoo888,"Horeee covid lagi, udah ga ngerti lagi mau jadi apa dunia ini, bisa lumpuh ekonomi kalau ada jilid ke 2, yang pertama aja udah habis2 an masyarakat ini","Hooray Covid anymore, I don't understand what to be this world, you can be paralyzed by the 2nd volume, the first one is already used up by this community"
89,@Steve_A_R,Satu kata: GUE KAGAK PEDULI 😊 eh 3 kata ya... 😅,One word: I don't care 😊 eh 3 words huh ... 😅
90,@vinznokyojin7471,Indo jg da msk... bini ane yg kerja d rs pernah nemu,Indo too in msk ... my chanting who worked in the hospital
91,@irfanmauludin398,efek Vaksin Covid mRNA mulai terlihat 🤣🤣🤣🤣,The effect of the covid vaccine mRNA starts to appear 🤣🤣🤣🤣
92,@user-lh2cz2vq9y,"Bisnis medis bagus lagi hehe, bagus cuan lagi","Good medical business again hehe, good cuan again"
93,@siscagani7081,Serem dan mematikan virus pneumonia,Scary and turn off the pneumonia virus
94,@jcclcp2395,Tiongkok negri seribu penyakit menular🤦,China country of a thousand infectious diseases🤦
95,@lala-f,intinya beritanya jangan dibesar2kan lama2 virusnya jg hilang. dan masyarakat jgn ketakutan yg berlebih2an krn akan menyebabkan imun tubuh jadi menurun shg tubuh mudah diserang penyakit coba cuekin aja penyakitnya lama2 beritanya jadi hilang.,"The point is that the news should not be enlarged for a long time the virus is also gone. And the public is not excessive fear because it will cause the body's immune to decrease so that the body is easily attacked by the disease, just ignore the disease for a long time to disappear."
96,@georgealexander4976,Kok bisa yakin hilang bang? Menurut saya justru lebih bagus disebar luaskan agar masyarakat bisa lebih aware akan penyakit yang baru ini. Sehingga tingkat penyebaran tidak meluas secara cepat dan masif seperti kasus cofid 19,"How can you be sure of being lost, sir? In my opinion, it is better to spread so that people can be more aware of this new disease. So that the level of spread does not extend quickly and massively like the case of Cofid 19"
97,@fatcrruise6508,yg namanya virrus gak bisa ilang kali. Yg ada itu berevolusi.,whose name is Virrus can't disappear. What's evolved.
98,@user-po7mm4xq9w,"klo gkl dibesar,,mereka gk dapat cuan haaa","if it's not enlarged ,, they can't get it haaa"
99,@BlackBlack-kh3hv,"​@@georgealexander4976kalo wabah mah, gk bisa di tahan kak, kaya pake masker dll paling nunggu tubuh berevolusi jadi tahan itu,(soal vaksin kurang menyakinkan, soalnya keluarga gw gk di vaksin dan sehat.....juga dulu sempat ada banyak tentara amerika yang nolak vaksin dan malah di bebas tugaskan, kan aneh ?) cmiiw juga vaksin itu sangat menungtungkan ke pihak yang buat vaksinya jadi menurut ku lebih bagus gk di sebarluaskan,","@@ Georgealexander4976kalo mah, it can't be held sis, like wearing masks etc. the most waiting for the body to be resolved, (about the vaccine less convincing, because my family is not in the vaccine and healthy ..... also used to have many soldiers America refuses to vaccine and even be free, is it strange?) CMIIW is also a vaccine very much to the parties that make the vaccination so I think it's better not to be disseminated,"
100,@stalin.1991,Biarin di besar besarkan beritanya biar sekolah pada libur 😂😂🗿,Let it be bigger in the raise to go to school on holiday 😂😂🗿
101,@rikirusdiansyah5959,Ini orang tiongkok makan apa lagi si sekarang,What is this Chinese eating now
102,@AnggaAtma,Apalagi ya Allah,Especially O Allah
103,@zaenakids,"Adap dngn dunia ini y alloh, lindungilah kmi smua, ap ini bntuk pnjjhn","Adap with this world allh, protect all of them, this is this pnjjhn"
104,@syaifularif6690,Thanks bro..,Thanks bro ..
105,@lennynofalina3518,Saya di bejing ga ada berita koar2 soal ini,"I am in a bejing, there is no news about this"
106,@sotaalph,Memang dibesar besarkan kok oleh negara lain,Indeed enlarged how come by other countries
107,@resisandy3827,"capek lur, masa lockdown lagi 😌","tired, lockdown again 😌"
108,@batugerindaindonesia,Bakul vaksin mulai bergerak...,The vaccine is starting to move ...
109,@kujang_kembar,Konspirasi jilid baru...... Yg terlalu percaya akan jadi korban tapi yg tdk terlalu percaya akan baik2 saja spt covid........,New volume conspiracy ...... who believe too much will be victims but those who don't believe too much will be fine like Covid ........
110,@MoganHog-cd3qg,"Jangan salah, sblum pneumonia ini mewabah 3 th lalu mertua q kena, bisa ketolong krn cebat2 dibawa ke rmh sakit.. Wkt ada kabar covid dl orang indonesia juga meremehkan, dan hasilnya kalian bisa tau sendiri gimana ekonomi dan nyawa bnyak yg melayang","Make no mistake, before this pneumonia is endemic 3 years and then my parents -in -law can be hit, can be helped because the debate is brought to the sick."
111,@toharist195,proyek proyek lagi nih,project again
112,@dinginberkarakter7711,"Yah makin susah dah cari kerja, gw kemaren melamar kerja masih ditanyain surat vaksin booster, gw kira udah gabakal ditanyain, naek kereta aja udah gak wajib masker Sekarang ada beginian lagi 😁","Well, the more difficult it is to find work, I applied for work yesterday I was still asked for a booster vaccine letter, I thought I was asked to be asked, just the train was not mandatory for the mask now there was another like this 😁"
113,@harisrahmadi3544,Ingat covit-19...ambyar semua,Remember Covit-19 ... Ambyar All
114,@panjimahesa,Season ke 2! yang lemah dulu kena lalu evolusi menyerang pekerja 😌,Season 2! the weak one used to be hit and then evolution attacking workers 😌
115,@fatcrruise6508,"lbh ke anak2 sih, karena banyak anak2 yg ga divaksin","more to children, because many children are not vaccinated"
116,@TeofiloAsyer,"Season 2 😂 , jadikan anime","Season 2 😂, make anime"
117,@kampusvoli93,Apus apusss..,Apus Apusss ..
118,@miu-ui9hk,emang jenis virusnya sama antara penyakit baru dan covid 19...koq vaksinnya katanya sama...?,Is the type of virus the same between new diseases and Covid 19 ... how come the vaccine is the same ...?
119,@benysetiawan8437,Orangnya mirip.kmbar,The person is similar. Kmbar
120,@MrPanjialam,"Untung saya bukan anak"" 😃","Fortunately I'm not a child ""😃"
121,@evioktavia4164,Wuah lockdown lagi...dunk,Wuah lockdown again ... dunk
122,@HelenaMaria-em9kq,"Kalo.lockdown.ya nonton2 drakor dan film aja di rumah, mau gmn.lg","Kallo.lockdown. Yes, watching the drakor and movies at home, want gmn.lg"
123,@evioktavia4164,@@HelenaMaria-em9kq tapi kalau ga punya pohon duit mah lockdown bisa ga makan sist🙂,"@@ Helenamaria-Em9KQ But if you don't have a Lockdown money tree, you can't eat system 🙂"
124,@HelenaMaria-em9kq,"@@evioktavia4164 iya, duit tabungan bertahun2 terkuras buat kebutuhan sehr2 pas lockdown. Jadi terpaksa berhemat ria, banyak mkn sayur mengurangi belanja yg gak.perlu2, tapi yakinlah dibalik cobaan, ada berkah. Dulu saya seblm covid, gak bisa masak,makan beli terus, krn hrs berhemat jd belajar masak, skrg termasuk lumayan jago masak.😀","@@ Evioktavia4164 Yes, savings money for years drained for the needs of sehr2 when lockdown. So forced to save money, many MKN vegetables reduce spending that is not. Need, but rest assured behind trials, there is a blessing. I used to be a cover, I can't cook, eat and buy it, because I have to save money so I learn to cook, now, it is pretty good at cooking."
125,@ageelgandiwa489,Bodoamat Jangan percaya,Bodoamat don't believe
126,@paulsty30,Hutang imunitas ? 😂,Immunity debt? 😂
127,@anggabudiono8151,Siap siap libur panjang 2 tahun,Ready to be ready for 2 years long off
128,@alif5551,Wadahh...apalagiii ini....biasa sajaaa dehhhh... Wong flu saja kok ributtt,Container ... especially this ... just ordinary dehhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh)
129,@williemhendra8672,"Indonesia Harus waspada segera.. Dimana TBC saja No 2 di Dunia, apalagi Peunomia... Kalau di Kerumunan banyak Orang saya selalu pakai Masker termasuk di Transportssi Umum.. Dimana Pemerintah terutama Dinas Kesehatan atau Pihak Transjakarta sama sekali tidak ada larangan jika Pengguna Transportasi Umum yang Pilek/Flu, Batuk bahkan Bersin untuk dapat naik ke transportasi tersebut.. Sayang sekali Kesadaran SDM Indonesia sangat minim.. Malahan merasa terlalu baik hati/dermawan membagikan penyakit ke orang lain.. 😌","Indonesia must be vigilant immediately ... where tuberculosis is number 2 in the world, especially peunomia ... if in the crowd many people I always use masks, including in general transportation ... where the government, especially the Department of Health or Transjakarta, there is absolutely no prohibition if the user transportation General that is cold/flu, coughing and even sneezing to be able to go up to the transportation ... Too bad Indonesian human resource awareness is very minimal .. instead feels too kind/generous distributing diseases with others .. 😌 😌 😌 😌 😌 😌"
130,@yogaakhyarkirana3388,sdangkan Indonesia dngan skala penuh mendatangkan ribuan TKA² tiongkok yg sama skali tanpa skil,Adjust Indonesia with a full scale brings thousands
131,@sholta.23,Preettt,Preettt
132,@kulonsidamukti6133,Bodo amatttt,Bodo Amatttt
133,@user-pk8hx2rm1x,Negara satu ini bikin rusuh aja...,This country just makes a riot ...
134,@MohammedKumar-si4ec,"🤣🤣🤣 Sekelas media Kompas loh.. msh menyiarkan berita dgn mengutip sumber yg gak jelas... "".. katanya... diberitakan... "" 🤣🤣🤣","🤣🤣🤣 Kompas media classmates ... still broadcast news by quoting an unclear source ... ""... he said ... reported ..."" 🤣🤣🤣 🤣🤣🤣"
135,@krisnapermana1467,Bnyak drama,A lot of drama
136,@marcopolo9324,Kalo ini beneren tolak pendatang dr china dan lakukan lg penyaringan mendalam pendatang luar selain dr china yg pernah datang ke china dalam kurun waktu tertentu karena takutnya virusnya masih blm bisa dideteksi. Lebih baik tutup pendatang dr luar dr pada indonesia sudah kena mau close down daerahpun enggan karena aktifitas ekonomi terhambat.,"If this is really rejecting the migrants from China and do a deep filtering of outside migrants besides Dr. China who have come to China in a certain period of time for fear that the virus is still not detected. It is better to close the migrant from outside from Indonesia that it has been hit down, the area is reluctant because economic activity is hampered."
137,@TatiTati-cs9dc,Saatnya UMKM berkembang..buat sendiri pakai sendiri karna bakal ada penutupan SPT saat covit..haduh.. Semoga tdk terulang..karena covit kepala keluarga hilang,It's time for MSMEs to develop ... make your own use it yourself because there will be closure like when covered ... happiness .. hopefully it will not be repeated ... because the cover of the head of the family is missing
138,@rudywong573,China lagi diserang senjata biologis,China is being attacked by biological weapons
139,@M.Ilham123,"Memang nih China kayak ""negara sakit"".🗿💀","Indeed, China is like a ""sick country""."
140,@user-en8yk9dv5e,China negara wabah....,China State Plague ....
141,@mariokevin7279,Virus yang dibikin bikin,Viruses that are made to make
142,@jujuhaisi7703,Semua virus juga bikinan,All viruses are also made
143,@KDMofficial_1,Terus lah membodoh-bodohi masyakat ..biar kalian semakin kaya wahay para pejabat dan media,Continue to fool the people ... so you are getting richer at the Wahay of officials and the media
144,@KDMofficial_1,Kontrol media gembar gembor bikin cemas masyarakat itulah agenda globalis .... Siap siap agenda pandemi baru dengan menyebarkan nyamuk ... agenda busuk pemerintah !!,Control of fanfare media makes the community anxiously that is the global agenda ... Ready to be ready for the new Pandemic agenda by spreading mosquitoes ... Government rotten agenda !!
145,@bocahtuanakal8450,Bassiiiiiii,BassiIIIIII
146,@imunitycels,Pada bandel susah ngasih tau warga nya pada ngeyel selanjutnya terserah para pakar kesehatan saja,"It is difficult to tell the residents to tell the next ngeyel, it's up to health experts"
147,@TulangTele,"Perang biology, untuk mengurangi populasi dunia yg sdh overload.","Biology War, to reduce the world population that has been overloaded."
148,@ArifIkhwan-if4fp,"Dunia belum overload, yang overload itu negara china, makanya mereka ingin menjajah Indobesia secara ekonomi, mengusulkan IKN ke Kalimantan agar mereka bisa membawa tenaga kerja dan penduduk ke Kalimantan, target mereka 10 juta penduduk China akan migrasi ke kalimantan dalam periode 10 tahun, dimulai dari 2025. Cuma bangsa kita aja yg blm sadar...","The world has not been overloaded, the onload is China, so they want to colonize Indonesia economically, proposing IKN to Kalimantan so that they can bring labor and residents to Kalimantan, their target is 10 million Chinese residents will migrate to Kalimantan in a period of 10 years, starting from 2025. Only our nation hasn't realized ..."
149,@rahayusujiatiningsih3160,proyek maneh...😁😁😁,Maneh project ... 😁😁😁
150,@barista2526,"Halah, berlebihan melulu kayak covid.","Halah, excessively like Covid."
151,@bellaherman9000,Orang banyak yang mati kok berlebih lebihan,The many people who die are excessive
152,@sholta.23,"​@@bellaherman9000saking banyaknya semua yg meninggal disebut krn covid, penyakit lain libur dulu 😅","@@ Bellahanerman9000SAKing The number of all who died is called Covid, another disease for holidays first 😅"
153,@TiangJemuranAntik,@@sholta.23 sampai mati karena kecelakaan lalu lintas waktu itu dicovitkan lol 😂,@@ Sholta.23 to death due to a traffic accident at that time it was covered with lol 😂
154,@herbalsriaji,Indonesia harus siap-siap untuk tingkatkan daya tahan tubuh anak...,Indonesia must be prepared to increase the immune system of children ...
155,@EricNikola,COVID BOHONG WHO OMONG KOSONG SANA JILAT ILER ROTHSCHILD  ROCKEFELLER,Covid lying who bullshit there lick iler rothschild rockefeller
156,@Sogeking_00,"Berisik nying ,semua heboh itu intinya gara2 media mainstream","Noisy Nying, all the excitement is basically because of the mainstream media"
157,@handayanidoank3475,"Vaksin ,,,,????😮😮😮 Aku di vaksin 3 x,kena covid 3x juga,gimana tuh","Vaccine ,,,, ???? 😮😮😮 I was in a 3 x vaccine, got 3x covid too, how about that"
158,@fatcrruise6508,gak mati kan,Not dead right
159,@nikmahnurkh9453,"Sy 2x kena covid. Pertama belum vaksin, gejala berat smp masuk ICU semingguan, total rawat inap 17 hari. Kedua sudah vaksin, gejala ringan, isoman 5hr PCR sudah negatif","Sy 2x hit Covid. First has not been vaccinated, the symptoms of the weight of junior high school entered the ICU weekly, total inpatient 17 days. Both are vaccines, mild symptoms, isomom 5hr PCR is negative"
160,@HelenaMaria-em9kq,"​@@nikmahnurkh9453berarti vaksin ada manfaatnya, tubuh lbh kuat menghadapi virus. Semoga anda dan keluarga sehat selalu","@@ Nikmahnurkh9453 means that vaccines have benefits, the body is strong in facing the virus. I hope you and your family are always healthy"
161,@oritongkis8386,"Banyak juga yg ga mati akibat covid kemarin, apakah mereka kebal? tidak juga, yg jelas itu bulshit.. dagangan vaksin dan salah penanganan, sakit fluu di kasih oksigen dan di suntik macem2, meskipun hercules di suntuk macem2 gitu ya MODAR..","Many also did not die from Covid yesterday, are they immune? Not really, what is clear is a bulshit ... merchandise vaccine and misguided handling, fluu pain is given oxygen and injections in the machete, even though hercules are all so modar ..."
162,@KarbuPWk36,Cuan..cuan..,Cuan..cuan ..
163,@user-gm5hg5ri4u,*yang jelasin sambil cengar-cengir ?.*,*What is explained while grinning?*
164,@umarsaidbajrie6185,dunis skrng dipimpim oleh para penjahat,Dunis is now led by criminals
165,@user-gm5hg5ri4u,"*mulailah nihh 😅😅😅😅😅.* Flu burung,covid 19 terus ini baru lagi ?.","* Start 😅😅😅😅AC.* Bird flu, Covid 19 and this is new again?"
